AGNO	RBD	DGV_RBD	NOM_RBD	MRUN	RUT_SOSTENEDOR	P_JURIDICA	COD_REG_RBD	NOM_REG_RBD_A	COD_PRO_RBD	COD_COM_RBD	NOM_COM_RBD	COD_DEPROV_RBD	NOM_DEPROV_RBD	COD_DEPE	COD_DEPE2	RURAL_RBD	LATITUD	LONGITUD	CONVENIO_PIE	ENS_01	ENS_02	ENS_03	ENS_04	ENS_05	ENS_06	ENS_07	ENS_08	ENS_09	ENS_10	ENS_11	MATRICULA	ESTADO_ESTAB	ORI_RELIGIOSA	ORI_OTRO_GLOSA	PAGO_MATRICULA	PAGO_MENSUAL
2019	1202	5	ESCUELA FERROVIARIA		69051100.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	2	1	0	-32,829864500000	-70,607521060000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1203	3	ESCUELA GABRIELA MISTRAL		69051100.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	2	1	0	-32,836994170000	-70,582077030000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	7	ECUMENICA	GRATUITO	GRATUITO
2019	1204	1	ESCUELA BASICA GRAL.JOSE MIGUEL CARRERA		69051100.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	2	1	0	-32,827621460000	-70,604995730000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1208	4	ESCUELA BASICA RIO BLANCO		69051100.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	2	1	1	-32,909683230000	-70,304359440000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1210	6	ESCUELA EL SAUCE		69051100.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	2	1	0	-32,835300450000	-70,548034670000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1211	4	ESCUELA IGNACIO CARRERA PINTO		69051100.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	2	1	0	-32,845539090000	-70,595298770000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1212	2	ESCUELA JUAN GOMEZ MILLAS		69050600.0	1	5	VALPO	57	5701	SAN FELIPE	52	LOS ANDES	2	1	1	-32,825038910000	-70,659141540000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1213	0	LICEO PARTICULAR MIXTO LOS ANDES		65144121.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	3	2	0	-32,825970320000	-70,611499060000	1	10	110	310	410	510	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1214	9	COLEGIO MARIA AUXILIADORA		70083600.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	3	2	0	-32,832386690000	-70,601650310000	0	110	310	0	0	0	0	0	0	0	0	0	1	1	2		$1.000 A $10.000	$50.001 A $100.000
2019	1215	7	ESCUELA PARTICULAR SAN JOSE		70015600.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	3	2	0	-32,829377120000	-70,597952740000	0	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1216	5	ESCUELA PARTICULAR HUMBERTO CASARINO		65142982.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	3	2	0	-32,842769890000	-70,600917420000	0	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1217	3	LICEO SANTA CLARA		70357700.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	3	2	0	-32,840523980000	-70,598798470000	0	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1218	1	ESCUELA PARTICULAR JEAN PIAGET		65155288.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	3	2	0	-32,852415700000	-70,588559550000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	7	CRISTIANO	GRATUITO	GRATUITO
2019	1220	3	ESCUELA PARTICULAR METODISTA E.DEL NINO		65032892.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	3	2	0	-32,831363210000	-70,597921400000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	3		GRATUITO	GRATUITO
2019	1221	1	COLEGIO ALCAZAR		65154941.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	3	2	0	-32,835821230000	-70,601417260000	0	10	110	0	0	0	0	0	0	0	0	0	1	1	3		GRATUITO	GRATUITO
2019	1225	4	INSTITUTO CHACABUCO		65266730.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	4	3	0	-32,830241000000	-70,595020000000	0	10	110	310	0	0	0	0	0	0	0	0	1	1	2		MAS DE $100.000	MAS DE $100.000
2019	1226	2	COLEGIO MARIA MONTESSORI		76121876.0	1	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	4	3	0	-32,831645360000	-70,609056840000	0	10	110	310	0	0	0	0	0	0	0	0	1	1	1		MAS DE $100.000	MAS DE $100.000
2019	1229	7	COLEGIO PARTICULAR BREGA COLLEGE	12951263.0		0	5	VALPO	53	5301	LOS ANDES	52	LOS ANDES	4	3	0	-32,828587000000	-70,605480000000	0	10	110	0	0	0	0	0	0	0	0	0	1	1	2		$50.001 A $100.000	$50.001 A $100.000
2019	1233	5	ESCUELA PABLO NERUDA		69051400.0	1	5	VALPO	53	5304	SAN ESTEBAN	52	LOS ANDES	2	1	0	-32,798233030000	-70,579307560000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1234	3	ESC. BASICA SILVIO ZENTENO VERGARA		69051400.0	1	5	VALPO	53	5304	SAN ESTEBAN	52	LOS ANDES	2	1	0	-32,811031340000	-70,578727720000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	1		GRATUITO	GRATUITO
2019	1235	1	ESCUELA LO CALVO		69051400.0	1	5	VALPO	53	5304	SAN ESTEBAN	52	LOS ANDES	2	1	1	-32,753501890000	-70,592140200000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1237	8	ESCUELA BÁSICA PADRE HUMBERTO MUÑOZ R.		69051400.0	1	5	VALPO	53	5304	SAN ESTEBAN	52	LOS ANDES	2	1	1	-32,714328770000	-70,546096800000	0	110	0	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
2019	1238	6	ESCUELA INCLUSIVA SAN LORENZO		69051400.0	1	5	VALPO	53	5304	SAN ESTEBAN	52	LOS ANDES	2	1	0	-32,787940980000	-70,596099850000	1	10	110	0	0	0	0	0	0	0	0	0	1	1	2		GRATUITO	GRATUITO
